site.plot,DSV.change,DSV.2013,DSV.2019,Rich.2013,Rich.2019,Rich.change,obs.ext,obs.rank.ext,Scenario
8.12,5,95,100,7,6,-1,3,4,4
8.13,15,80,95,9,3,-6,8,5.5,4
8.14,-85,100,15,3,5,2,3,2,NA
8.15,-10,75,65,4,6,2,2,2,NA
8.16,25,65,90,6,7,1,3,4.666666667,3
8.17,0,80,80,5,5,0,3,3.333333333,NA
8.18,-15,65,50,5,3,-2,4,3.5,NA
8.19,0,90,90,4,3,-1,2,2.5,NA
8.2,60,95,155,2,10,8,0,NA,NA
8.3,20,70,90,3,3,0,2,2.5,3
8.4,50,15,65,3,5,2,2,2.5,1
8.5,35,50,85,5,4,-1,3,3,1
8.6,10,90,100,7,4,-3,6,3.666666667,4
8.7,5,95,100,6,4,-2,3,4,4
9.1,-25,50,25,3,14,11,1,2,NA
9.12,-4,5,1,11,14,3,4,8.25,NA
9.13,-10,30,20,13,14,1,3,8.666666667,NA
9.14,45,45,90,8,7,-1,5,4.8,1
9.15,30,50,80,10,11,1,3,6.666666667,3
9.19,5,5,10,13,12,-1,6,8.833333333,4
9.2,-57.5,60,2.5,7,6,-1,5,4.4,NA
9.21,-5,10,5,12,19,7,4,6,NA
9.22,10,5,15,15,17,2,4,12.5,3
9.23,0,50,50,14,13,-1,6,10,NA
9.24,-0.5,1,0.5,9,17,8,3,6,NA
9.25,80,10,90,13,8,-5,10,8.4,3
9.6,-5,55,50,10,15,5,2,9.5,NA
9.7,5,15,20,11,11,0,2,7.5,3
9.8,-5,60,55,12,12,0,5,6.4,NA
9.9,-5,85,80,7,12,5,0,NA,NA
11.1,-10,20,10,12,16,4,7,8.142857143,NA
11.11,60,15,75,7,6,-1,4,4.25,1
11.6,-15,45,30,10,6,-4,6,5.333333333,NA
11.7,-9,10,1,12,9,-3,7,6.142857143,NA
11.8,-20,25,5,18,14,-4,9,12.33333333,NA
11.9,-10,20,10,15,8,-7,9,8.333333333,NA
14.1,70,0,70,6,3,-3,3,3,1
14.16,40,10,50,2,4,2,1,2,1
14.17,25,50,75,2,4,2,0,NA,NA
14.18,10,60,70,5,4,-1,2,2,3
14.19,40,20,60,4,4,0,0,NA,NA
14.2,15,20,35,4,3,-1,2,3.5,3
14.6,60,10,70,5,4,-1,2,3.5,1
14.7,-25,30,5,5,4,-1,3,3.333333333,NA
14.8,5,40,45,4,4,0,1,1,3
14.9,-55,75,20,4,4,0,1,1,NA
