"site.plot","ACMI","AGGI","ANCA","ANMA","ANVI","ANCA.1","ASSY","BRIN","CAREX","CENI","CIAR","CLVIR","COST","DACA","DIAR","ECVU","EQAR","ERAN","FAGR","FERN","FRVI","GEUR","HIVU","HYPE","INHE","LEVU","LIVUL","LOCAN","LOCO","LOPE","LYAM","MEAL","MELU","MEPI","MOFI","OXST","PHAR","PHPR","PIST","PLLA","POAL","POPR","PORE","RAAC","RHCA","ROMU","RUHI","RULA","RUOC","SEVA","SOARV","SOSP","STME","SYCO","SYER","SYLA","SYNO","TAOF","TORA","TRHY","TRPRA","VAOF","VEOF","VETH","VICR","VIRI","VIRO"
1.7,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,0,0,7.5,0,0,0,1,0,0.25,0,0,0,0,0,0,0,15,0,0,0,5,1,0.5,0,0,0,0,0,0,5,0,2.5
1.8,0,0,0,0,0,0,0,5,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.5,0.5,0,0,0,0,0,0.5,10,0,0,0,1,0.25,0.5,0,0,0,2,0,0,7.5,5,1
1.9,0,0,0,0,0,0,5,0,0.5,0,0.5,0,40,2.5,0,0,0,0,2.5,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0.25,0,0,0,0,2.5,0,0,0,0,0,0.25,1,0,0,0,0,0,0,7.5,0,0,1,1,0,1,0,0,0,5,0,0,10,0,1
2.1,0,0,0,0,0,0,3,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5.5,0,0,0,0,0,0,0.5,0,0,25,0,0,0,1,0,2,0,0,0,0,0,0,40,0,0.75
2.11,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0.25,0,0,15,7.5,50
2.12,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.75,0,0,0,0,20,0,50
2.13,0,0,0,0,0,0,1,15,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,25,0,2
2.14,0,5,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,2.5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,20,0,0,0,1,0,0.5,0,0,0,5,0,0,25,0,30
2.15,0,0,0,0,0,0,0,20,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0.5,0,0,0,0.25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.25
2.16,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,15,0,2
