"","obs.num.ext","ext.rnd.mean","ext.rnd.lower","ext.rnd.upper","ext.z.value","ext.p.value","obs.ext.rank","rank.mean","rank.lower","rank.upper","rank.z.value","rank.p.value"
"3.14",4,5.36636636636637,4,7,-1.59334953446313,0.0775,4.25,9.63160779827446,8.66666666666667,10.5,-9.97287086716842,0.001
"3.15",4,6.95295295295295,5,9,-2.60259103385381,0.005,3.75,10.4650368622591,9.14285714285714,12,-9.53261638182197,0.001
"3.2",6,5.23023023023023,4,7,0.837529699564525,0.2115,4.83333333333333,15.5803632998077,14,16.5,-14.3883007790604,0.001
"3.3",4,11.0870870870871,9,13,-6.78943599173279,0.001,4.75,10.1996807191252,9.16666666666667,11.3333333333333,-9.91536370341941,0.001
"3.4",7,10.8918918918919,9,13,-3.01919597022986,0.0025,6.57142857142857,13.6646759785649,12.2490384615385,15.25,-9.08597830520009,0.001
"3.5",7,4.30930930930931,4,5,5.42589071096678,0,6,18.315048381715,17.5,18.5,-37.4099604479541,0.001
"4.1",2,7.00800800800801,5,9,-4.32850047146088,0.001,4,10.1414164164164,9,11.8,-8.71035159908481,0.001
"4.11",2,1.13213213213213,1,2,2.47654975545068,0.0659999999999999,3.5,9.92692692692693,9.5,10,-31.4542598598413,0.001
"4.12",4,5.45045045045045,3,8,-1.26440627541976,0.1225,5.25,13.1892757837202,11.595,15,-9.36913436786269,0.001
"4.13",4,5.87287287287287,3,9,-1.40598953023543,0.089,5.25,12.0048058881392,10.1055555555556,14.5,-6.21370500684067,0.001
"4.14",3,4.46246246246246,4,6,-2.51172346316119,0.001,5,12.2201916201916,11.2,12.5,-19.028666388128,0.001
"4.15",5,4.95795795795796,4,7,0.0520052606903985,0.464,6.4,17.7466216216216,16.1666666666667,18.5,-15.7352914077718,0.001
"4.16",2,3.21021021021021,3,4,-2.83506119895226,0.001,4,12.8834334334334,12.25,13,-35.681824342601,0.001
"4.17",4,4.41141141141141,4,6,-0.724393310357412,0.3145,6.75,16.2545354878688,15.4,16.5,-26.2429329161928,0.001
"4.18",3,5.14414414414414,5,6,-6.10151508898552,0.001,5.33333333333333,11.9247580914248,11.5,12,-35.6038577578499,0.001
"4.19",3,4.26126126126126,4,5,-2.73132565711316,0.001,5.33333333333333,12.3565565565566,11.8,12.5,-27.0599512053235,0.001
"4.2",4,8.8958958958959,6,11,-3.66064209347102,0.001,6.5,12.730818069707,11.25,14.5714285714286,-7.38965128827057,0.001
"4.21",3,1.15115115115115,1,2,5.11918615609547,0.000499999999999945,2.66666666666667,9.91508174841508,9.5,10,-33.8269155473495,0.001
"4.23",1,3.25725725725726,2,5,-2.52926427183566,0.001,6,10.3878044711378,8.5,11.5,-4.86246794494851,0.001
"4.24",4,3.23223223223223,3,4,1.7408350860913,0.116,8,18.8658158158158,18.25,19,-39.8524111261936,0.001
"4.25",6,7.23423423423423,5,10,-0.877320967850694,0.21,6.66666666666667,16.7991550713773,14.1654761904762,19.3333333333333,-7.81900234959725,0.001
"4.6",2,2.02002002002002,1,4,-0.0250078114627185,0.488,2,11.1795462128795,9.5,12,-12.552095900648,0.001
"4.7",4,3.48048048048048,2,5,0.537205398141434,0.308,3.5,12.3154487821154,10.5,13.5,-10.2808710788843,0.001
"4.9",5,4.23723723723724,4,5,1.70912614885087,0.1185,5.8,16.3720720720721,15.8,16.5,-43.0383975697395,0.001
"5.1",1,4.28028028028028,2,6,-3.21719708649136,0.001,5,7.89099814099814,6.8,9.5,-4.36733478155504,0.001
"5.11",3,4.13113113113113,3,6,-1.317321846558,0.1205,2.66666666666667,14.0773118356452,12.4,15,-14.2935068033881,0.001
"5.12",0,4.77477477477477,3,6,-4.90340945091722,0.001,NA,5.80248581915249,5,7,NA,0
"5.13",2,4.64864864864865,3,7,-2.65976443238412,0.001,4,11.7128247294914,10,13,-9.62345130341298,0.001
"5.14",4,2.59159159159159,2,4,2.10358835103222,0.049,4.75,13.0084584584585,11,13.5,-11.8478880503699,0.001
"5.16",3,4.0970970970971,2,6,-1.01691693077954,0.177,4.66666666666667,13.6714953048286,11.75,15.5,-9.05246291929392,0.001
"5.2",1,9.61161161161161,8,10,-14.8569442197717,0.001,3,5.46192025358692,5.11111111111111,5.77777777777778,-16.0361645054483,0.001
"5.23",8,4.6966966966967,4,6,4.49447965911848,0.000499999999999945,5.125,16.0455205205205,14.6666666666667,16.5,-20.918951648745,0.001
"5.24",1,4.25125125125125,3,6,-4.01037598199136,0.001,1,8.09993326659993,7,9,-11.3945227462841,0.001
"5.25",1,3.18718718718719,3,4,-5.49703096306199,0.001,6,12.8943943943944,12.25,13,-29.2401128582573,0.001
"5.3",0,7.00600600600601,5,9,-7.18852623015162,0.001,NA,8.80227648283204,7.77777777777778,10,NA,0
"5.4",2,5.94194194194194,4,8,-4.08212553080331,0.001,4.5,6.81016373516374,5.83333333333333,8,-4.2490929908011,0.001
"5.5",2,3.84184184184184,2,6,-1.63208565998645,0.0665,3.5,7.56203584536918,6,9.5,-4.64068114315788,0.001
"5.6",7,4.12612612612613,2,6,2.63837970393631,0.00849999999999995,4.71428571428571,15.4884718051385,13,17.5,-9.14341358028033,0.001
"5.7",4,7.14514514514515,5,9,-2.75153369388116,0.004,3.5,8.26956321400766,7.25,9.505,-7.84922355396081,0.001
"5.8",1,1.81381381381381,1,3,-1.07180791306545,0.1905,4,9.34225892559226,7.5,10,-7.29792148550814,0.001
"5.9",2,3.76776776776777,2,6,-1.60803256678689,0.0665,4.5,7.79227084227084,6.33333333333333,9.5,-4.15156179441595,0.001
"6.1",10,11.8608608608609,10,14,-1.81969970064439,0.0385,8.1,20.304237687571,18.9227564102564,21.5,-18.0259134015277,0.001
"6.11",3,2.19319319319319,2,3,1.96811529472719,0.096,3,7.39305972639306,6.66666666666667,7.5,-18.7621557419492,0.001
"6.12",3,2.02002002002002,2,2,6.99292506759518,0.01,4,11.48998998999,11.5,11.5,-106.893895440819,0.001
"6.13",3,4.04004004004004,4,5,-5.30223259093205,0.001,6,12.47997997998,12,12.5,-66.0712274829617,0.001
"6.14",1,3.05705705705706,3,4,-8.86403523049367,0.001,2,4.97147147147147,4.5,5,-25.6086506878058,0.001
"6.15",1,3.07607607607608,3,4,-7.82678910748547,0.001,3,8.96046046046046,8.5,9,-42.7087824669604,0.001
"6.17",7,4.08308308308308,4,5,10.5629516269602,0,5.85714285714286,18.4574574574575,18,18.5,-88.6943569411763,0.001
"6.18",3,1.03203203203203,1,2,11.1706337739658,0,3.33333333333333,11.9834834834835,11.5,12,-93.8546067570804,0.001
"6.19",7,6.01701701701702,6,6,7.59650468004477,0.00849999999999995,5.85714285714286,15.4914914914915,15.5,15.5,-148.908731396176,0.001
"6.2",5,5.28128128128128,5,6,-0.585976217629958,0.367,4.8,13.8458220124887,13.1666666666667,14,-33.6972806804934,0.001
"6.21",4,7.02102102102102,7,7,-21.048574419169,0.001,5,12.9894894894895,13,13,-111.331475630614,0.001
"6.22",3,3.1991991991992,3,4,-0.492357828988695,0.402,4,10.8888888888889,10.25,11,-29.4006678105919,0.001
"6.24",8,8.81081081081081,8,10,-1.1113173421783,0.182,7.5,18.0136115913894,16.9,18.5,-22.7881063654357,0.001
"6.25",6,4.37337337337337,4,6,2.9293212854094,0.018,6.66666666666667,18.2678202011535,17.2,18.5,-30.906427173191,0.001
"6.7",4,5.02202202202202,5,5,-6.96064758817205,0.001,4.75,11.988988988989,12,12,-98.6046291787722,0.001
"6.8",10,9.03403403403403,9,10,5.32484198615053,0.017,8.4,23.982982982983,23.5,24,-171.80092256,0.001
"6.9",3,3.02202202202202,3,3,-0.14998457094984,0.4895,5,10.988988988989,11,11,-81.5779716357167,0.001
"8.1",4,5.49449449449449,4,7,-1.73356319262365,0.0645,3.5,7.60650173983507,6.71428571428571,8.5,-8.23140521930633,0.001
"8.11",2,3.32832832832833,2,5,-1.69308012181708,0.074,2.5,4.71971971971972,4,5.5,-5.00499947475382,0.001
"8.12",3,4.15215215215215,4,5,-3.18163450574818,0.001,4,12.4194194194194,12,12.5,-43.111626296331,0.001
"8.13",8,5.34634634634635,5,7,5.00844856673682,0,5.5,15.8015634682301,15,16,-32.2442983380204,0.001
"8.16",3,3.27727727727728,2,5,-0.324160701648812,0.401,4.66666666666667,10.41998665332,8.8,11.5,-7.0229499134248,0.001
"8.2",0,3.99299299299299,4,4,-47.8455671262002,0.001,NA,2.49883216549883,2.5,2.5,NA,0
"8.3",2,1.65765765765766,1,3,0.551240680007908,0.3285,2.5,5.60760760760761,5,6,-8.10592844037419,0.001
"8.4",2,5.76376376376376,5,6,-8.16141703325822,0.001,2.5,3.52752752752753,3.4,3.8,-11.1189216618033,0.001
"8.5",3,5.21321321321321,3,7,-2.2713251098903,0.015,3,7.57357595690929,6.57142857142857,9,-8.12208870600701,0.001
